Student,Section,Pre-Lecture #1: Introductions and Review of Rad. Physics (2126333),Pre-Lecture #2: Atomic and Nuclear Physics (2154884),Post-Lecture #1: Introductions and Review of Rad. Physics (2154887),Post-Lecture #2: Atomic and Nuclear Physics (2154888),Pre-Lecture #3: Modes of Radioactive Decay I (2177981),Pre-Lecture #4: Modes of Radioactive Decay II (2177982),Post-Lecture #3: Modes of Radioactive Decay I (2180649),Post-Lecture #4: Modes of Radioactive Decay II (2180650),Pre-Lecture #5: Statistics of Radioactive Decay I (2181055),Pre-Lecture #6: Statistics of Radioactive Decay II (2181056),Post-Lecture #5: Statistics of Radioactive Decay I (2182956),Post-Lecture #6: Statistics of Radioactive Decay II (2182996),Pre-Lecture #7: Production of Radioactive Materials (2183249),Post-Lecture #7: Production of Radioactive Materials (2183483),Exam 1 (Ramesh) (2184012),Post-Lecture #8: Radiation Interactions with Matter (2188253),Post-Lecture #9: Radiation Protection (2189014),Pre-Lecture #10: Detection of Radiation I (2190816),Post-Lecture #10: Detection of Radiation I (2190862),Post-Lecture #11: Detection of Radiation II (2192455),Post-Lecture #12: Nuclear Imaging I (2195103),Post-Lecture #13: Nuclear Imaging II (2196470),Exam 2 (Ramesh) (2196544),Post-Lecture #14: Radiopharmaceutical Therapy (2200539),Post-Lecture #15: Introduction to Brachytherapy (2201534),Post-Lecture #16: Brachytherapy Calculations (2203304),Post-Lecture #17: Brachytherapy Applications (2204355),Exam 3 (Ramesh) (2196545),Roll Call Attendance (2154886),Pre-Lecture Current Score,Pre-Lecture Unposted Current Score,Pre-Lecture Final Score,Pre-Lecture Unposted Final Score,Post-Lecture Current Score,Post-Lecture Unposted Current Score,Post-Lecture Final Score,Post-Lecture Unposted Final Score,Attendance Current Score,Attendance Unposted Current Score,Attendance Final Score,Attendance Unposted Final Score,Exam 1 Current Score,Exam 1 Unposted Current Score,Exam 1 Final Score,Exam 1 Unposted Final Score,Exam 2 Current Score,Exam 2 Unposted Current Score,Exam 2 Final Score,Exam 2 Unposted Final Score,Exam 3 Current Score,Exam 3 Unposted Current Score,Exam 3 Final Score,Exam 3 Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,
    Points Possible,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,1,100,100,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),
Student 1,Radionuclide Physics - Sec 001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,93.34,1,1,1,1,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93.34,93.34,93.34,93.34,96,96,96,96,97.14,97.14,97.14,97.14,A
Student 2,Radionuclide Physics - Sec 001,1,EX,1,1,1,0,1,1,1,0,0,0,1,1,87,1,1,EX,1,1,1,1,89.25,0,0,1,1,86,100,66.67,66.67,66.67,66.67,76.47,76.47,76.47,76.47,100,100,100,100,87,87,87,87,89.25,89.25,89.25,89.25,86,86,86,86,87.02,87.02,87.02,87.02,A-
Student 3,Radionuclide Physics - Sec 001,1,1,1,1,1,0,1,1,1,1,1,1,0,0,58,1,1,EX,1,1,1,1,78.31,1,1,1,1,92.2,100,71.43,71.43,71.43,71.43,94.12,94.12,94.12,94.12,100,100,100,100,58,58,58,58,78.31,78.31,78.31,78.31,92.2,92.2,92.2,92.2,80.01,80.01,80.01,80.01,A-
Student 4,Radionuclide Physics - Sec 001,1,EX,1,EX,1,1,1,1,1,0,1,1,1,0,75,1,1,1,1,1,1,1,71.3,1,1,1,1,89.5,100,85.71,85.71,85.71,85.71,93.75,93.75,93.75,93.75,100,100,100,100,75,75,75,75,71.3,71.3,71.3,71.3,89.5,89.5,89.5,89.5,82.4,82.4,82.4,82.4,A-
Student 5,Radionuclide Physics - Sec 001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90,1,1,1,1,1,1,1,73.75,1,1,1,1,95.5,95,100,100,100,100,100,100,100,100,95,95,95,95,90,90,90,90,73.75,73.75,73.75,73.75,95.5,95.5,95.5,95.5,89.09,89.09,89.09,89.09,A-
Student 6,Radionuclide Physics - Sec 001,EX,EX,1,1,1,0,1,1,1,1,1,1,1,1,74,1,1,EX,1,,1,1,63.76,,1,1,1,92,100,80,80,80,80,100,100,88.24,88.24,100,100,100,100,74,74,74,74,63.76,63.76,63.76,63.76,92,92,92,92,81.04,81.04,80.45,80.45,A-
Student 7,Radionuclide Physics - Sec 001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93,1,1,EX,1,1,1,1,80.59,1,1,1,1,83.5,100,100,100,100,100,100,100,100,100,100,100,100,100,93,93,93,93,80.59,80.59,80.59,80.59,83.5,83.5,83.5,83.5,88.45,88.45,88.45,88.45,A-
Student 8,Radionuclide Physics - Sec 001,1,1,1,1,1,1,EX,EX,1,1,1,1,1,1,87,1,0,EX,1,1,0,1,89.59,1,1,1,1,90.5,74,100,100,100,100,86.67,86.67,86.67,86.67,74,74,74,74,87,87,87,87,89.59,89.59,89.59,89.59,90.5,90.5,90.5,90.5,88.03,88.03,88.03,88.03,A-
Student 9,Radionuclide Physics - Sec 001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84,1,1,1,1,1,1,1,100,1,1,1,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,84,84,84,84,100,100,100,100,100,100,100,100,96,96,96,96,A
Student 10,Radionuclide Physics - Sec 001,1,1,0,1,1,1,1,1,0,1,1,1,1,1,65,1,1,1,1,1,1,1,71.59,1,1,1,1,66,100,87.5,87.5,87.5,87.5,94.12,94.12,94.12,94.12,100,100,100,100,65,65,65,65,71.59,71.59,71.59,71.59,66,66,66,66,73.03,73.03,73.03,73.03,B
Student 11,Radionuclide Physics - Sec 001,1,1,1,1,1,1,1,1,1,1,1,0,1,1,65,1,1,1,1,1,1,1,74.56,1,1,1,1,73,100,100,100,100,100,94.12,94.12,94.12,94.12,100,100,100,100,65,65,65,65,74.56,74.56,74.56,74.56,73,73,73,73,76.5,76.5,76.5,76.5,B+
